sample,batch,class,order
QC01,1,NA,1
QC02,1,NA,2
QC03,1,NA,3
X10_B_4,1,4,4
X17_C_2,1,6,5
X20_B_3,1,3,6
X18_C_1,1,5,7
X19_C_2,1,6,8
X14_B_4,1,4,9
QC04,1,NA,10
X1_B_3,1,3,11
X18_B_2,1,2,12
X17_B_2,1,2,13
X14_B_3,1,3,14
X19_C_1,1,5,15
X14_C_2,1,6,16
QC05,1,NA,17
X16_B_2,1,2,18
X15_C_3,1,7,19
X19_C_3,1,7,20
X17_C_1,1,5,21
X9_C_2,1,6,22
X1_C_2,1,6,23
QC06,1,NA,24
X16_C_1,1,5,25
X20_B_4,1,4,26
X18_B_4,1,4,27
X20_C_3,1,7,28
X10_C_2,1,6,29
X19_B_2,1,2,30
QC07,1,NA,31
X20_C_2,1,6,32
X17_B_4,1,4,33
X9_B_4,1,4,34
X20_B_2,1,2,35
X9_C_1,1,5,36
X19_B_3,1,3,37
QC08,1,NA,38
X15_C_2,1,6,39
X16_B_4,1,4,40
X19_B_4,1,4,41
X17_C_3,1,7,42
X10_C_3,1,7,43
X16_C_3,1,7,44
QC09,1,NA,45
X10_B_2,1,2,46
X10_C_1,1,5,47
X1_C_3,1,7,48
X14_B_2,1,2,49
X15_B_4,1,4,50
X9_B_2,1,2,51
QC10,1,NA,52
X15_B_2,1,2,53
X15_C_1,1,5,54
X14_C_3,1,7,55
X16_C_2,1,6,56
X18_C_2,1,6,57
X1_B_2,1,2,58
QC11,1,NA,59
X17_B_3,1,3,60
X15_B_3,1,3,61
X14_C_1,1,5,62
X20_C_1,1,5,63
X9_B_3,1,3,64
X10_B_3,1,3,65
QC12,1,NA,66
X1_C_1,1,5,67
X9_C_3,1,7,68
X18_C_3,1,7,69
X18_B_3,1,3,70
X1_B_4,1,4,71
QC13,1,NA,72
